trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
11,lst.png,testls.png,uncross,right,16,10.1161367893219,1.2645170986652374,1.007593360766088,2.8630197048187256,"[ 2.8630197   9.07120466 11.36729479 14.45534062 18.42332697 19.83103895
 22.38314486 29.11146474]","[ 6.47643375  9.57264161 13.1886847  15.37273383 18.76482892 20.61287665
 23.91684294 29.71692967]","[3.6134140491485596, 0.5014369487762451, 1.82138991355896, 0.9173932075500488, 0.34150195121765137, 0.7818377017974854, 1.5336980819702148, 0.6054649353027344]"
12,lsn.png,testls.png,cross,right,10,7.8913397789001465,1.5782679557800292,0.5514748102566492,3.8951058387756348,[ 3.89510584  7.72723103 11.7751019  21.45550585 24.79123473],[ 5.52456975  9.2606039  14.27666593 22.22880268 26.24487686],"[1.6294639110565186, 1.5333728790283203, 2.5015640258789062, 0.7732968330383301, 1.4536421298980713]"
13,lsn.png,testls.png,cross,right,20,8.574950933456421,0.8574950933456421,0.35119600921495003,3.423056125640869,"[ 3.42305613  6.66295481  8.80682421 10.71108603 13.49501514 16.79933095
 19.631181   22.39122081 27.69542503 29.63928795]","[ 5.06048989  7.45258999  9.47662401 11.38059092 14.71647716 17.74054503
 20.62073898 23.08459306 27.97284794 30.32483602]","[1.6374337673187256, 0.789635181427002, 0.6697998046875, 0.6695048809051514, 1.2214620113372803, 0.9412140846252441, 0.9895579814910889, 0.6933722496032715, 0.2774229049682617, 0.6855480670928955]"
14,lst.png,testls.png,uncross,right,14,8.422516345977783,1.203216620853969,0.604835281191687,2.551136016845703,"[ 2.55113602  6.37510395  9.67104793 16.19116902 23.62344384 26.56720781
 28.59923196]","[ 3.89260697  7.8925519  11.82858992 16.62067199 23.97281194 27.58069015
 30.21293402]","[1.3414709568023682, 1.5174479484558105, 2.1575419902801514, 0.4295029640197754, 0.3493680953979492, 1.0134823322296143, 1.6137020587921143]"
15,testls.png,lst.png,cross,left,12,8.672801733016968,1.4454669555028279,0.43851165388364505,2.8711471557617188,[ 2.87114716  6.60702801 12.15913987 15.75136209 20.03126502 24.34333706],[ 3.98842978  8.39669418 13.99674201 17.46862006 20.65262485 25.93297005],"[1.1172826290130615, 1.7896661758422852, 1.837602138519287, 1.7172579765319824, 0.6213598251342773, 1.5896329879760742]"
16,testls.png,lst.png,cross,left,12,10.241143703460693,1.7068572839101155,0.7015097189372599,2.9029669761657715,[ 2.90296698  6.91887093  9.98322296 12.97511697 20.463341   25.67122984],[ 5.09313679  8.44448876 11.27658486 14.42858005 23.44451404 26.46858788],"[2.1901698112487793, 1.5256178379058838, 1.2933619022369385, 1.453463077545166, 2.981173038482666, 0.7973580360412598]"
17,testls.png,lsn.png,uncross,left,14,7.614543199539185,1.087791885648455,0.7185414912910247,2.4150400161743164,"[ 2.41504002  5.6151619  11.1670289  15.08729076 19.87109995 25.77547193
 29.85537267]","[ 3.70058489  7.4124229  11.708745   15.50879288 22.29264593 26.45288086
 30.32493687]","[1.2855448722839355, 1.7972609996795654, 0.5417160987854004, 0.42150211334228516, 2.42154598236084, 0.6774089336395264, 0.46956419944763184]"
18,lsn.png,testls.png,cross,right,8,6.781922101974487,1.6954805254936218,0.6464282662694931,3.7829699516296387,[ 3.78296995  6.53485584 15.5032208  19.46302509],[ 5.31644893  9.13247395 17.35659194 20.26047897],"[1.5334789752960205, 2.5976181030273438, 1.8533711433410645, 0.7974538803100586]"
19,testls.png,lsn.png,uncross,left,12,7.7210516929626465,1.2868419488271077,0.8253633317572574,4.943089962005615,[ 4.94308996 11.183146   16.32722902 19.31109309 24.03947806 29.95149493],[ 7.08467221 13.51673102 18.0687871  20.17264223 24.29284215 30.34090805],"[2.1415822505950928, 2.333585023880005, 1.7415580749511719, 0.8615491390228271, 0.25336408615112305, 0.38941311836242676]"
20,testls.png,lsn.png,uncross,left,12,6.008723497390747,1.0014539162317913,0.4594150147875259,3.9029438495635986,[ 3.90294385  7.15099788 10.09516001 13.83097792 15.64701414 22.89543605],[ 5.316432    8.15631199 11.30854917 14.00460315 17.16462207 23.58073497],"[1.4134881496429443, 1.0053141117095947, 1.2133891582489014, 0.17362523078918457, 1.5176079273223877, 0.6852989196777344]"
