trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
11,lsn.png,testls.png,cross,right,18,8.43500804901123,0.9372231165568033,0.32250707256437827,1.7112293243408203,"[ 1.71122932  4.68699813  8.45516801 12.18331313 14.09507608 18.66322517
 23.05545807 27.68727112 29.84722519]","[ 3.06851315  5.28454304  9.3485682  13.08445525 15.53252506 19.46183515
 24.33277106 28.34200716 30.3647542 ]","[1.3572838306427002, 0.5975449085235596, 0.8934001922607422, 0.9011421203613281, 1.4374489784240723, 0.7986099720001221, 1.277312994003296, 0.6547360420227051, 0.5175290107727051]"
12,lsn.png,testls.png,cross,right,22,5.964287519454956,0.5422079563140869,0.24297439129097578,2.070862054824829,"[ 2.07086205  3.60678482  5.35092402  7.63115692 12.01520991 13.4310379
 17.80714393 20.39135289 22.47898579 24.42328691 28.55144215]","[ 2.45241094  3.90843415  5.8924768   8.39635181 12.50857282 14.60460472
 18.13269496 20.92466998 22.78070188 25.06071496 29.0608418 ]","[0.3815488815307617, 0.3016493320465088, 0.5415527820587158, 0.7651948928833008, 0.4933629035949707, 1.1735668182373047, 0.32555103302001953, 0.5333170890808105, 0.3017160892486572, 0.6374280452728271, 0.5093996524810791]"
13,testls.png,lst.png,cross,left,24,7.86625075340271,0.6555208961168925,0.36377018771648123,2.030862808227539,"[ 2.03086281  4.36698771  6.47907782  7.3669579  11.20723486 13.09505987
 15.99141693 17.17512584 18.61484075 21.35918379 24.93558407 29.1593318 ]","[ 2.58058977  4.9725759   6.98860788  7.48459387 11.92459989 14.11656404
 16.65255094 18.10869694 19.28458595 21.69281697 26.46081686 29.38091588]","[0.5497269630432129, 0.6055881977081299, 0.5095300674438477, 0.11763596534729004, 0.717365026473999, 1.0215041637420654, 0.6611340045928955, 0.9335711002349854, 0.6697452068328857, 0.3336331844329834, 1.5252327919006348, 0.22158408164978027]"
14,testls.png,lsn.png,uncross,left,20,5.176867961883545,0.5176867961883544,0.28738289647296333,2.671015977859497,"[ 2.67101598  4.75899816  7.09495616 10.97525311 15.30324721 17.911201
 19.92727304 23.09527206 26.36729121 27.87123609]","[ 3.43067431  4.94041395  7.52460217 11.38854814 15.46851206 18.18068409
 20.89271402 23.76477313 26.72484708 28.83684301]","[0.7596583366394043, 0.18141579627990723, 0.42964601516723633, 0.41329503059387207, 0.16526484489440918, 0.2694830894470215, 0.9654409885406494, 0.6695010662078857, 0.3575558662414551, 0.9656069278717041]"
15,testls.png,lst.png,cross,left,24,6.106619358062744,0.5088849465052286,0.3798511362077706,1.7189748287200928,"[ 1.71897483  3.67894387  6.74313498 11.15919089 12.83905196 16.82336187
 18.95130801 20.31126285 22.11116695 23.51114082 25.66327286 30.19134688]","[ 2.04453683  3.82864475  7.2128489  11.6047318  13.12475491 17.79657793
 19.34084201 21.04463482 22.4527998  23.84468079 27.18883085 30.32489276]","[0.3255620002746582, 0.14970088005065918, 0.4697139263153076, 0.4455409049987793, 0.2857029438018799, 0.9732160568237305, 0.38953399658203125, 0.7333719730377197, 0.3416328430175781, 0.3335399627685547, 1.5255579948425293, 0.1335458755493164]"
16,testls.png,lsn.png,uncross,left,16,7.276030778884888,0.909503847360611,0.7005739695124877,5.647319078445435,"[ 5.64731908  8.81513762  9.94312191 12.76714396 16.72745872 20.80754304
 23.08729792 28.21548271]","[ 6.49262476  9.20471597 10.54872394 12.98891282 17.85267186 21.34898472
 25.70093679 29.14896488]","[0.8453056812286377, 0.38957834243774414, 0.6056020259857178, 0.22176885604858398, 1.1252131462097168, 0.5414416790008545, 2.6136388778686523, 0.9334821701049805]"
17,lst.png,testls.png,uncross,right,12,6.408231735229492,1.0680386225382488,0.5114234557436727,3.4711391925811768,[ 3.47113919  9.52722716 14.8312273  17.35109305 25.54346228 29.50362611],[ 4.66042399 10.6204381  15.92465425 17.78072715 27.56484413 30.08491921],"[1.1892848014831543, 1.0932109355926514, 1.0934269428253174, 0.42963409423828125, 2.0213818550109863, 0.5812931060791016]"
18,lsn.png,testls.png,cross,right,18,6.737801551818848,0.7486446168687608,0.5950704887118613,2.678867816925049,"[ 2.67886782  6.4631319   8.52681971 15.38337088 16.66278982 21.87914276
 23.83906198 27.64735389 29.70323682]","[ 3.34024978  7.20458388  9.66830683 15.88464999 18.88465095 22.55676484
 23.98872709 28.14881277 29.84483099]","[0.6613819599151611, 0.7414519786834717, 1.1414871215820312, 0.5012791156768799, 2.2218611240386963, 0.6776220798492432, 0.14966511726379395, 0.5014588832855225, 0.14159417152404785]"
19,lsn.png,testls.png,cross,right,18,4.577826261520386,0.5086473623911539,0.4207833081049946,3.526740789413452,"[ 3.52674079  5.92675185  7.59072495  9.25475597 13.76699781 17.06328011
 19.39910793 24.93525696 28.39115405]","[ 3.94834089  6.13234305  8.05246711  9.54031301 14.27653193 17.23652792
 20.99654794 25.13248491 29.11703992]","[0.4216001033782959, 0.20559120178222656, 0.4617421627044678, 0.2855570316314697, 0.5095341205596924, 0.1732478141784668, 1.5974400043487549, 0.19722795486450195, 0.7258858680725098]"
20,testls.png,lsn.png,uncross,left,16,6.6612794399261475,0.8326599299907684,0.785194550348036,3.5029048919677734,"[ 3.50290489  7.67104292  9.10292411 12.22325206 16.52706695 18.32706094
 21.19904685 29.97548699]","[ 4.324435    8.27652574  9.90057874 12.84442186 17.07676911 18.49269199
 24.02977586 30.24486685]","[0.8215301036834717, 0.605482816696167, 0.7976546287536621, 0.6211698055267334, 0.5497021675109863, 0.16563105583190918, 2.8307290077209473, 0.2693798542022705]"
